region_id,region_label,prefix,maker,maker_zh,maker_ja,maker_en,label_ja,code_read,pad,format,dmm_digit,status,notes,sources
japan_censored,日本有码,MIQD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=11,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MIRD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,大型企划 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MISM,Emuko Labo / えむっ娘ラボ,Muko Lab,えむっ娘ラボ,Emuko Labo,,std3_dmm,3,{prefix}-{num},,active,主线 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIST,Mr.Michiru / 美汁流,,ミスターミチル,Mr.Michiru,,std3_dmm,3,{prefix}-{num},1,active,色花堂有码列表×2 · DMM确认,bitmagnet|catalog-sync|dmm|local-db|maker-norm|missav|sehuatangForum
japan_censored,日本有码,MIVD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=29,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MIXS,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=5,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MIZD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,新作精选 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MKCK,E-BODY / 好身材,E-BODY / 好身材,E-BODY,E-BODY,,std3_dmm,3,{prefix}-{num},,active,身材精选 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MKD,Mothers / 母亲们,,マザーズ,Mothers,,std3_dmm,3,{prefix}-{num},,active,色花堂有码列表×1 · DMM确认,bitmagnet|catalog-sync|local-db|missav|sehuatangForum
japan_censored,日本有码,MKMP,Million / 百万,Million / 百万,ミリオン,Million,,std3_dmm,3,{prefix}-{num},,active,现行更常见 · 权威站:javbus · 本地库确认 · 色花堂有码列表×4,authority|bitmagnet|catalog-sync|dmm|javbus|local-db|sehua|sehuatangForum|site
japan_censored,日本有码,MKON,かぐや姫Pt,,かぐや姫Pt,Kaguya Hime Pt,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MKY,MOODYZ / 慕迪斯,,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,片商表/ranges/DMM/权威站 · 【注意】与国产同名号前缀撞车，请按 region 区分,bitmagnet|catalog-sync|dmm|local-db|maker-norm|trusted
japan_censored,日本有码,MMB,桃太郎映像出版,,桃太郎映像出版,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MMGH,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=281,bitmagnet|local-db
japan_censored,日本有码,MMKZ,MARRION,,MARRION,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MMUS,MARRION,,MARRION,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
